group,window_months,group_wells,minimum_support,valid_months,drought_months,drought_fraction,N_events,mean_duration,max_duration,mean_severity_signed,mean_severity_deficit,mean_intensity,minimum_sgi,CRT,CRS,VUL,median_recovery_months,recovered_events,unrecovered_events,propagation_probability_3_to_12
1,3,10,5,224,20,0.08928571428571429,5,4.0,7,-4.705570068765578,4.705570068765578,-1.129857448381481,-1.3434816876706597,0.9107142857142857,0.25,8.667707117291954,12.0,5,0,1.0
1,6,10,5,220,20,0.09090909090909091,6,3.3333333333333335,8,-3.7027515438588092,3.7027515438588092,-1.0727313318892724,-1.2736882207138187,0.9090909090909091,0.3,8.874058987538014,10.5,6,0,
1,12,10,5,208,17,0.08173076923076923,4,4.25,6,-4.60769376437155,4.60769376437155,-1.0688031513427174,-1.193899872343822,0.9182692307692307,0.23529411764705882,6.466732012959659,10.5,2,2,
2,3,4,2,433,41,0.09468822170900693,8,5.125,10,-6.863453530727158,6.863453530727158,-1.2619295229665972,-1.8746453188049812,0.9053117782909931,0.1951219512195122,15.183124308004308,4.0,8,0,1.0
2,6,4,2,412,38,0.09223300970873786,9,4.222222222222222,9,-5.403758201463813,5.403758201463813,-1.177578672170766,-1.7200065886274056,0.9077669902912622,0.23684210526315788,13.3848050487632,6.0,9,0,
2,12,4,2,373,44,0.11796246648793565,5,8.8,10,-10.37459324549042,10.37459324549042,-1.169954983531412,-1.56904958061864,0.8820375335120644,0.11363636363636363,12.834617252774953,12.0,5,0,
3,3,2,2,347,59,0.17002881844380405,5,11.8,23,-16.957929989023306,16.957929989023306,-1.3208098613756176,-2.1529841516335844,0.829971181556196,0.06896551724137931,37.685425324024045,,0,5,0.8
3,6,2,2,335,62,0.18507462686567164,3,20.666666666666668,36,-29.193786683884525,29.193786683884525,-1.3426166041665173,-2.1529841516335844,0.8149253731343283,0.03278688524590164,47.01808269986033,,0,3,
3,12,2,2,313,58,0.1853035143769968,2,29.0,56,-41.08520665571604,41.08520665571604,-1.2326365509285195,-1.8735467560422534,0.8146964856230032,0.017543859649122806,80.10060292652238,,0,2,
