PIEZ_ID,X,Y,CLUSTER,VUL12,VUL_N,CRS12,CRS_N,CRS_INV,MAXDUR12,MAXDUR_N,EXPOSURE
II/1271/1,441727.379465,523964.37798,1,25.042360389490447,0.09288713900864791,0.058823529411764705,0.5042016806722689,0.4957983193277311,16,0.12195121951219512,0.22247971725543703
II/1272/1,406124.320712,559613.68159,1,19.212421011461117,0,0.10714285714285714,0.9183673469387754,0.08163265306122458,11,0,0.024489795918367373
II/1273/1,457116.257396,519137.508988,1,32.69596123108128,0.21483027412403596,0.11428571428571428,0.9795918367346939,0.020408163265306145,20,0.21951219512195122,0.15790821716579162
II/1274/1,437254.525319,574337.265338,1,30.421292686079532,0.17858848160481483,0.05555555555555555,0.47619047619047616,0.5238095238095238,18,0.17073170731707318,0.279797761979905
II/1274/2,437254.525319,574337.265338,1,26.00169730166337,0.10817204256235428,0.08333333333333333,0.7142857142857142,0.2857142857142858,17,0.14634146341463414,0.1728855417636177
II/1276/1,426138.534945,566934.733599,1,33.981735165579686,0.23531622679749598,0.05714285714285714,0.4897959183673469,0.5102040816326531,20,0.21951219512195122,0.31304137374537966
II/1285/1,430634.357466,547647.787304,1,22.382830411543246,0.050513434113837734,0,0,1,15,0.0975609756097561,0.3494736663284619
II/906/1,404107.060393,583888.84398,1,25.04846911905423,0.09298446805023203,0.08333333333333333,0.7142857142857142,0.2857142857142858,15,0.0975609756097561,0.15217636561730538
II/908/1,412611.881532,584622.319745,1,20.1189278420214,0.014443173508779175,0.043478260869565216,0.37267080745341613,0.6273291925465838,12,0.024390243902439025,0.2012931003382185
II/908/2,412611.881532,584622.319745,1,23.723250921965136,0.07187005863566727,0.1111111111111111,0.9523809523809523,0.04761904761904767,13,0.04878048780487805,0.057667884081444624
II/1272/2,406406.453948,559611.297028,2,38.112126755343304,0.3011248455293447,0.1111111111111111,0.9523809523809523,0.04761904761904767,25,0.34146341463414637,0.23717467688769608
II/1275/1,425263.94912,578231.850695,2,25.417393071121957,0.0988624520561169,0.1111111111111111,0.9523809523809523,0.04761904761904767,14,0.07317073170731707,0.07578191462035619
II/521/1,438931.241877,567321.019865,2,29.796117565251897,0.16862770421287324,0.11666666666666667,1,0,16,0.12195121951219512,0.10403644753880784
II/527/1,415848.578062,571151.14399,2,40.50856325371097,0.3393067400080688,0.028169014084507043,0.2414486921529175,0.7585513078470825,27,0.3902439024390244,0.4803612590890596
II/1065/1,453545.573339,543466.324751,3,49.46457373126692,0.48200088076135567,0.0425531914893617,0.364741641337386,0.6352583586626139,31,0.4878048780487805,0.5297193233179606
II/797/1,429354.580549,551206.872137,3,81.97610864626442,1,0.03389830508474576,0.29055690072639223,0.7094430992736078,52,1,0.9128329297820823
