field,OBJECTID,PIEZ_ID,x,y,training_points,observed,predicted,error,absolute_error,squared_error,status
VUL_N,1,II/1271/1,441727.3794650007,523964.37798000127,15,0.09288713900864791,0.28958935,0.1967022109913521,0.1967022109913521,0.0386917598088864,OK
VUL_N,2,II/1272/1,406124.32071200013,559613.681590002,15,0.0,0.30604535,0.30604535,0.30604535,0.0936637562566225,OK
VUL_N,3,II/1273/1,457116.25739600044,519137.5089880023,15,0.21483027412403596,0.23595652,0.02112624587596404,0.02112624587596404,0.00044631826481168757,OK
VUL_N,4,II/1274/1,437254.5253190007,574337.2653379999,15,0.17858848160481483,0.11168017,-0.06690831160481484,0.06690831160481484,0.004476722161807,OK
VUL_N,5,II/1274/2,437254.5253190007,574337.2653379999,15,0.10817204256235428,0.17879817,0.07062612743764572,0.07062612743764572,0.004988049876838574,OK
VUL_N,6,II/1276/1,426138.53494499996,566934.7335989997,15,0.23531622679749598,0.34670812,0.11139189320250403,0.11139189320250403,0.012408153871238064,OK
VUL_N,7,II/1285/1,430634.35746600013,547647.7873040009,15,0.050513434113837734,0.7449401,0.6944266658861623,0.6944266658861623,0.4822283942937717,OK
VUL_N,8,II/906/1,404107.060393,583888.8439799994,15,0.09298446805023203,0.081587896,-0.011396572050232034,0.011396572050232034,0.00012988185449613,OK
VUL_N,9,II/908/1,412611.8815320004,584622.3197450023,15,0.014443173508779175,0.075187385,0.06074421149122082,0.06074421149122082,0.0036898592296901634,OK
VUL_N,10,II/908/2,412611.8815320004,584622.3197450023,15,0.07187005863566727,0.02050584,-0.05136421863566727,0.05136421863566727,0.002638282956052629,OK
VUL_N,11,II/1272/2,406406.45394800045,559611.2970280033,15,0.3011248455293447,0.034009468,-0.2671153775293447,0.2671153775293447,0.07135062491264436,OK
VUL_N,12,II/1275/1,425263.94912000094,578231.850695001,15,0.0988624520561169,0.17582852,0.07696606794388308,0.07696606794388308,0.005923775614742427,OK
VUL_N,13,II/521/1,438931.2418770008,567321.0198650025,15,0.16862770421287324,0.30097002,0.13234231578712677,0.13234231578712677,0.01751448854789958,OK
VUL_N,14,II/527/1,415848.57806199975,571151.1439900007,15,0.3393067400080688,0.16822393,-0.17108281000806883,0.17108281000806883,0.029269327880256976,OK
VUL_N,15,II/1065/1,453545.57333900034,543466.3247510046,15,0.48200088076135567,0.21528533,-0.26671555076135567,0.26671555076135567,0.0711371850179333,OK
VUL_N,16,II/797/1,429354.58054900076,551206.8721370045,15,1.0,0.12537439,-0.87462561,0.87462561,0.7649699576678722,OK
CRS_INV,1,II/1271/1,441727.3794650007,523964.37798000127,15,0.4957983193277311,0.39907622,-0.09672209932773113,0.09672209932773113,0.009355164498363485,OK
CRS_INV,2,II/1272/1,406124.32071200013,559613.681590002,15,0.08163265306122458,0.1009477,0.01931504693877542,0.01931504693877542,0.00037307103824709776,OK
CRS_INV,3,II/1273/1,457116.25739600044,519137.5089880023,15,0.020408163265306145,0.51330245,0.4928942867346938,0.4928942867346938,0.24294477789570257,OK
CRS_INV,4,II/1274/1,437254.5253190007,574337.2653379999,15,0.5238095238095238,0.26921105,-0.25459847380952383,0.25459847380952383,0.0648203828661388,OK
CRS_INV,5,II/1274/2,437254.5253190007,574337.2653379999,15,0.2857142857142858,0.48571977,0.20000548428571419,0.20000548428571419,0.04000219374436306,OK
CRS_INV,6,II/1276/1,426138.53494499996,566934.7335989997,15,0.5102040816326531,0.39982212,-0.11038196163265307,0.11038196163265307,0.012184177453872494,OK
CRS_INV,7,II/1285/1,430634.35746600013,547647.7873040009,15,1.0,0.61530846,-0.38469154000000005,0.38469154000000005,0.14798758094757164,OK
CRS_INV,8,II/906/1,404107.060393,583888.8439799994,15,0.2857142857142858,0.34435403,0.05863974428571417,0.05863974428571417,0.0034386196098939474,OK
CRS_INV,9,II/908/1,412611.8815320004,584622.3197450023,15,0.6273291925465838,0.073991962,-0.5533372305465838,0.5533372305465838,0.30618209070896324,OK
CRS_INV,10,II/908/2,412611.8815320004,584622.3197450023,15,0.04761904761904767,0.5967868,0.5491677523809523,0.5491677523809523,0.3015852202551469,OK
CRS_INV,11,II/1272/2,406406.45394800045,559611.2970280033,15,0.04761904761904767,0.1438466,0.09622755238095232,0.09622755238095232,0.009259741837228922,OK
CRS_INV,12,II/1275/1,425263.94912000094,578231.850695001,15,0.04761904761904767,0.48100829,0.43338924238095233,0.43338924238095233,0.18782623541153584,OK
CRS_INV,13,II/521/1,438931.2418770008,567321.0198650025,15,0.0,0.49872905,0.49872905,0.49872905,0.2487306653139025,OK
CRS_INV,14,II/527/1,415848.57806199975,571151.1439900007,15,0.7585513078470825,0.27925438,-0.47929692784708244,0.47929692784708244,0.22972554504365136,OK
CRS_INV,15,II/1065/1,453545.57333900034,543466.3247510046,15,0.6352583586626139,0.34588242,-0.2893759386626139,0.2893759386626139,0.08373843387686888,OK
CRS_INV,16,II/797/1,429354.58054900076,551206.8721370045,15,0.7094430992736078,0.78070438,0.07126128072639215,0.07126128072639215,0.005078170130765669,OK
MAXDUR_N,1,II/1271/1,441727.3794650007,523964.37798000127,15,0.12195121951219512,0.30524951,0.18329829048780488,0.18329829048780488,0.033598263295751704,OK
MAXDUR_N,2,II/1272/1,406124.32071200013,559613.681590002,15,0.0,0.34562716,0.34562716,0.34562716,0.11945813372966559,OK
MAXDUR_N,3,II/1273/1,457116.25739600044,519137.5089880023,15,0.21951219512195122,0.25470763,0.0351954348780488,0.0351954348780488,0.0012387186362549738,OK
MAXDUR_N,4,II/1274/1,437254.5253190007,574337.2653379999,15,0.17073170731707318,0.14652997,-0.024201737317073174,0.024201737317073174,0.0005857240891646122,OK
MAXDUR_N,5,II/1274/2,437254.5253190007,574337.2653379999,15,0.14634146341463414,0.16986865,0.023527186585365872,0.023527186585365872,0.0005535285086226199,OK
MAXDUR_N,6,II/1276/1,426138.53494499996,566934.7335989997,15,0.21951219512195122,0.35165325,0.13214105487804875,0.13214105487804875,0.01746125838428349,OK
MAXDUR_N,7,II/1285/1,430634.35746600013,547647.7873040009,15,0.0975609756097561,0.75171685,0.6541558743902439,0.6541558743902439,0.4279199079992646,OK
MAXDUR_N,8,II/906/1,404107.060393,583888.8439799994,15,0.0975609756097561,0.087542444,-0.010018531609756104,0.010018531609756104,0.00010037097561568223,OK
MAXDUR_N,9,II/908/1,412611.8815320004,584622.3197450023,15,0.024390243902439025,0.053189106,0.028798862097560975,0.028798862097560975,0.0008293744581143341,OK
MAXDUR_N,10,II/908/2,412611.8815320004,584622.3197450023,15,0.04878048780487805,0.029872851,-0.01890763680487805,0.01890763680487805,0.0003574987295451791,OK
MAXDUR_N,11,II/1272/2,406406.45394800045,559611.2970280033,15,0.34146341463414637,0.03697085,-0.30449256463414637,0.30449256463414637,0.0927157219174798,OK
MAXDUR_N,12,II/1275/1,425263.94912000094,578231.850695001,15,0.07317073170731707,0.18762225,0.11445151829268292,0.11445151829268292,0.013099150039500334,OK
MAXDUR_N,13,II/521/1,438931.2418770008,567321.0198650025,15,0.12195121951219512,0.30911767,0.1871664504878049,0.1871664504878049,0.03503128018820392,OK
MAXDUR_N,14,II/527/1,415848.57806199975,571151.1439900007,15,0.3902439024390244,0.16373318,-0.2265107224390244,0.2265107224390244,0.051307107379848754,OK
MAXDUR_N,15,II/1065/1,453545.57333900034,543466.3247510046,15,0.4878048780487805,0.22198299,-0.2658218880487805,0.2658218880487805,0.07066127616581838,OK
MAXDUR_N,16,II/797/1,429354.58054900076,551206.8721370045,15,1.0,0.1505968,-0.8494032,0.8494032,0.72148579617024,OK
