group,SGI3_event_id,SGI3_start,SGI3_end,propagated,SGI12_event_id,SGI12_start,SGI12_end,onset_lag_months
1,1,2015-12-01,2016-06-01,1,1,2016-05-01,2016-10-01,5
1,2,2019-08-01,2019-11-01,1,2,2020-03-01,2020-07-01,7
1,3,2022-10-01,2022-10-01,1,3,2023-06-01,2023-06-01,8
1,4,2022-12-01,2022-12-01,1,3,2023-06-01,2023-06-01,6
1,5,2023-06-01,2023-12-01,1,3,2023-06-01,2023-06-01,0
2,1,1992-09-01,1992-09-01,1,1,1992-09-01,1993-06-01,0
2,2,1993-02-01,1993-03-01,1,1,1992-09-01,1993-06-01,-5
2,3,2015-10-01,2016-07-01,1,2,2016-02-01,2016-11-01,4
2,4,2019-05-01,2019-12-01,1,3,2019-09-01,2020-06-01,4
2,5,2020-03-01,2020-06-01,1,3,2019-09-01,2020-06-01,-6
2,6,2021-12-01,2022-02-01,1,4,2022-09-01,2023-04-01,9
2,7,2022-07-01,2023-02-01,1,4,2022-09-01,2023-04-01,2
2,8,2023-07-01,2023-11-01,1,5,2023-06-01,2023-11-01,-1
3,1,2017-03-01,2017-07-01,0,,,,
3,2,2019-01-01,2019-05-01,1,1,2019-04-01,2019-05-01,3
3,3,2019-08-01,2021-02-01,1,2,2019-08-01,2024-03-01,0
3,4,2021-05-01,2021-11-01,1,2,2019-08-01,2024-03-01,-21
3,5,2022-05-01,2024-03-01,1,2,2019-08-01,2024-03-01,-33
